"Pais","Año","Sexo","Prev.cardiac","Prev.diab","Prev.hiper","Region","Media.obes","Porcentaje.gastos","Gasto.total","Porcentaje.gastos_log"
"Canada",2007,"Men",0.458366054088063,-0.158879454381432,-0.75341881898243,"Americas",0.425497941398229,7946.743581,9.83,1.84724066600583
"Canada",2007,"Men",0.458366054088063,-0.158879454381432,1.44689551976639,"Americas",0.425497941398229,7946.743581,9.83,1.84724066600583
"Canada",2007,"Women",0.465620704623337,-0.719979915459333,-2.31410689646706,"Americas",0.250201413242551,7946.743581,9.83,1.84724066600583
"Canada",2007,"Women",0.465620704623337,-0.719979915459333,-0.65107861718016,"Americas",0.250201413242551,7946.743581,9.83,1.84724066600583
"Canada",2008,"Men",0.436226861937314,-0.126374062574153,-0.881344071235268,"Americas",0.472159607166288,8433.936814,1.3,1.87616708595192
"Canada",2008,"Women",0.423718843773049,-0.699867266068431,-2.39086204781876,"Americas",0.286774070195894,8433.936814,1.3,1.87616708595192
"Canada",2008,"Women",0.423718843773049,-0.699867266068431,-0.75341881898243,"Americas",0.286774070195894,8433.936814,1.3,1.87616708595192
"Canada",2008,"Men",0.436226861937314,-0.126374062574153,1.34455531796412,"Americas",0.472159607166288,8433.936814,1.3,1.87616708595192
"Canada",2009,"Women",0.341666244615471,-0.680133953254071,-0.881344071235268,"Americas",0.319563348843719,864.94993,11.17,0.769411267912262
"Canada",2009,"Men",0.365681639490859,-0.0971718438724558,1.26780016661241,"Americas",0.51125451632331,864.94993,11.17,0.769411267912262
"Canada",2009,"Women",0.341666244615471,-0.680133953254071,-2.46761719917046,"Americas",0.319563348843719,864.94993,11.17,0.769411267912262
"Canada",2009,"Men",0.365681639490859,-0.0971718438724558,-1.00926932348811,"Americas",0.51125451632331,864.94993,11.17,0.769411267912262
"Canada",2010,"Women",0.285755403421206,-0.658218588844245,-0.983684273037539,"Americas",0.348569249186025,8649.674911,11.2,1.88844627589707
"Canada",2010,"Women",0.285755403421206,-0.658218588844245,-2.56995740097273,"Americas",0.348569249186025,8649.674911,11.2,1.88844627589707
"Canada",2010,"Men",0.293635454864693,-0.0696880851419762,1.19104501526071,"Americas",0.545304921072974,8649.674911,11.2,1.88844627589707
"Canada",2010,"Men",0.293635454864693,-0.0696880851419762,-1.13719457574094,"Americas",0.545304921072974,8649.674911,11.2,1.88844627589707
"Canada",2011,"Women",0.206704728623052,-0.63568602547995,-2.64671255232444,"Americas",0.372530645120974,971.9280384,1.82,0.826046018661206
"Canada",2011,"Men",0.217586704425962,-0.0437028150675635,-1.26511982799378,"Americas",0.571788569211602,971.9280384,1.82,0.826046018661206
"Canada",2011,"Women",0.206704728623052,-0.63568602547995,-1.08602447483981,"Americas",0.372530645120974,971.9280384,1.82,0.826046018661206
"Canada",2011,"Men",0.217586704425962,-0.0437028150675635,1.11428986390901,"Americas",0.571788569211602,971.9280384,1.82,0.826046018661206
"Canada",2012,"Women",0.174434041759248,-0.607631262336449,-2.72346770367614,"Americas",0.393969788852244,9748.636237,1.78,1.94659293353576
"Canada",2012,"Women",0.174434041759248,-0.607631262336449,-1.18836467664208,"Americas",0.393969788852244,9748.636237,1.78,1.94659293353576
"Canada",2012,"Men",0.238975415486855,-0.00916677781678761,-1.36746002979605,"Americas",0.59574996514655,9748.636237,1.78,1.94659293353576
"Canada",2012,"Men",0.238975415486855,-0.00916677781678761,1.03753471255731,"Americas",0.59574996514655,9748.636237,1.78,1.94659293353576
"Canada",2013,"Men",0.259238404912964,0.0290090640829643,0.960779561205602,"Americas",0.617189108877821,9733.228019,1.67,1.9458239310677
"Canada",2013,"Men",0.259238404912964,0.0290090640829643,-1.49538528204889,"Americas",0.617189108877821,9733.228019,1.67,1.9458239310677
"Canada",2013,"Women",0.205829167351553,-0.576151522355364,-2.80022285502784,"Americas",0.412886680379835,9733.228019,1.67,1.9458239310677
"Canada",2013,"Women",0.205829167351553,-0.576151522355364,-1.26511982799378,"Americas",0.412886680379835,9733.228019,1.67,1.9458239310677
"Canada",2014,"Men",0.285880483602849,0.0700468488263684,-1.59772548385116,"Americas",0.63988937871093,102.1902168,1.45,-0.264871957446587
"Canada",2014,"Men",0.285880483602849,0.0700468488263684,0.884024409853899,"Americas",0.63988937871093,102.1902168,1.45,-0.264871957446587
"Canada",2014,"Women",0.215085100793109,-0.541116813756324,-1.36746002979605,"Americas",0.429281319703747,102.1902168,1.45,-0.264871957446587
"Canada",2014,"Women",0.215085100793109,-0.541116813756324,-2.85139295592898,"Americas",0.429281319703747,102.1902168,1.45,-0.264871957446587
"Chile",2002,"Men",-0.271726966160085,0.120807059909773,-0.164962658619374,"Americas",-0.356400241742209,675.7808443,6.48,0.64957141095286
"Colombia",2000,"Men",-0.640088101097689,-1.21658303390548,0.704929056699926,"Americas",-1.63896548731289,477.1341814,5.91,0.480636166163868
"Colombia",2000,"Women",-0.614946984587517,-0.674128904489125,-0.0882075072676716,"Americas",-0.645198119063435,477.1341814,5.91,0.480636166163868
"Colombia",2001,"Men",-0.671358146508352,-1.14467403282155,0.628173905348223,"Americas",-1.58599819103564,404.4205858,5.96,0.400428512169445
"Colombia",2001,"Women",-0.629331205476422,-0.610400627701067,-0.190547709069942,"Americas",-0.579619561767786,404.4205858,5.96,0.400428512169445
"Colombia",2002,"Women",-0.634334412742127,-0.545325495047231,-0.267302860421645,"Americas",-0.515302130573975,393.8773633,5.67,0.387617096603515
"Colombia",2002,"Men",-0.722766101163481,-1.07190494305643,0.55141875399652,"Americas",-1.53050864255471,393.8773633,5.67,0.387617096603515
"Colombia",2003,"Women",-0.620700672943079,-0.479160649294514,-0.369643062223915,"Americas",-0.450984699380165,417.8038898,5.92,0.416219392138962
"Colombia",2003,"Men",-0.657474246346018,-0.997659742385101,0.500248653095384,"Americas",-1.47375796797193,417.8038898,5.92,0.416219392138962
"Colombia",2004,"Women",-0.633834092015557,-0.411032011423777,-0.471983264026186,"Americas",-0.385406142084515,42.17956418,5.37,-0.688457905051733
"Colombia",2004,"Men",-0.631332488382704,-0.921222949090034,0.423493501743681,"Americas",-1.41448504118548,42.17956418,5.37,-0.688457905051733
"Colombia",2005,"Men",-0.582676297723713,-0.84327505469072,0.372323400842546,"Americas",-1.35521211439903,531.9808176,5.82,0.533435235253756
